avaliacao_id,vendedor_id,comprador_id,data_avaliacao,data_criacao_conta,nota,ip_origem,texto_avaliacao
AVAL-00783,VEND-0112,COMP-01624,2023-09-23,2022-11-30,5,192.69.93.191,Bom produto pelo preço.
AVAL-00784,VEND-0089,COMP-00847,2024-10-26,2024-04-14,3,130.83.15.4,Bom produto pelo preço.
AVAL-00785,VEND-0015,COMP-04702,2023-07-26,2023-05-29,2,158.18.44.70,"Veio com defeito, pedi troca."
AVAL-00786,VEND-0109,COMP-02388,2024-07-09,2023-08-04,5,32.241.236.214,"Veio com defeito, pedi troca."
AVAL-00787,VEND-0035,COMP-02320,2023-09-25,2022-12-09,2,9.70.85.67,Bom produto pelo preço.
AVAL-00788,VEND-0069,COMP-00831,2024-10-19,2024-01-16,4,100.218.230.6,Produto diferente da foto.
AVAL-00789,VEND-0118,COMP-04748,2023-11-05,2022-01-01,2,140.235.33.153,Demorou um pouco mas chegou bem.
AVAL-00790,VEND-0116,COMP-00223,2023-01-15,2021-10-09,3,124.95.63.253,
AVAL-00791,VEND-0077,COMP-01973,2023-12-04,2022-10-14,5,55.150.126.138,Bom produto pelo preço.
AVAL-00792,VEND-0044,COMP-02530,2024-10-04,2024-09-30,5,192.168.1.102,Excelente produto! Recomendo muito!
AVAL-00793,VEND-0038,COMP-00372,2023-08-23,2022-03-08,5,253.33.83.3,"Produto ok, dentro do esperado."
AVAL-00794,VEND-0024,COMP-01314,2024-10-29,2023-07-09,5,237.239.71.117,Não gostei da qualidade.
AVAL-00795,VEND-0035,COMP-04190,2024-06-27,2023-02-21,2,232.12.240.216,"Recomendo, boa experiência."
AVAL-00796,VEND-0058,COMP-03492,2024-04-23,2024-01-08,4,59.158.63.245,Não gostei da qualidade.
AVAL-00797,VEND-0048,COMP-02095,2023-12-22,2022-09-23,3,101.64.112.157,"Veio com defeito, pedi troca."
AVAL-00798,VEND-0112,COMP-02658,2023-03-31,2022-09-23,4,202.53.72.231,
AVAL-00799,VEND-0014,COMP-00844,2023-05-05,2021-06-05,5,75.65.251.221,
AVAL-00800,VEND-0093,COMP-01772,2023-01-27,2021-09-20,5,42.144.216.199,"Recomendo, boa experiência."
AVAL-00801,VEND-0022,COMP-01048,2023-11-20,2022-12-16,5,220.22.184.45,"Recomendo, boa experiência."
AVAL-00802,VEND-0039,COMP-01266,2024-03-22,2023-04-12,2,6.219.45.162,"Veio com defeito, pedi troca."
AVAL-00803,VEND-0063,COMP-03899,2024-11-26,2023-01-01,5,160.130.176.114,Excelente custo-benefício.
AVAL-00804,VEND-0078,COMP-00091,2024-02-22,2022-10-11,5,208.70.228.125,Excelente custo-benefício.
AVAL-00805,VEND-0056,COMP-02362,2023-03-15,2022-09-04,4,228.170.165.11,"Recomendo, boa experiência."
AVAL-00806,VEND-0089,COMP-01919,2023-02-02,2021-05-10,5,65.82.184.141,Excelente custo-benefício.
AVAL-00807,VEND-0001,COMP-01506,2024-10-16,2022-12-06,5,214.218.114.242,Não gostei da qualidade.
AVAL-00808,VEND-0108,COMP-04575,2023-08-25,2022-11-23,4,127.38.119.176,Excelente custo-benefício.
AVAL-00809,VEND-0078,COMP-02708,2024-11-14,2024-02-25,5,66.120.217.188,"Veio com defeito, pedi troca."
AVAL-00810,VEND-0095,COMP-03858,2024-05-17,2023-04-11,4,240.94.225.225,
AVAL-00811,VEND-0055,COMP-00076,2023-09-17,2023-08-16,4,212.132.136.236,Não gostei da qualidade.
AVAL-00812,VEND-0056,COMP-04800,2024-08-24,2024-04-16,2,213.180.217.200,Não gostei da qualidade.
AVAL-00813,VEND-0115,COMP-00585,2023-10-22,2023-08-07,3,192.151.20.146,
AVAL-00814,VEND-0037,COMP-04208,2024-10-29,2023-02-21,4,168.26.112.34,"Recomendo, boa experiência."
AVAL-00815,VEND-0017,COMP-03700,2023-12-13,2023-01-13,2,66.11.131.188,Excelente custo-benefício.
AVAL-00816,VEND-0084,COMP-04066,2024-05-01,2023-05-13,4,244.127.217.201,"Produto ok, dentro do esperado."
AVAL-00817,VEND-0026,COMP-01023,2024-08-25,2024-01-08,5,207.68.155.36,"Recomendo, boa experiência."
AVAL-00818,VEND-0078,COMP-02413,2023-07-23,2022-03-27,1,148.151.158.49,Não gostei da qualidade.
AVAL-00819,VEND-0090,COMP-00700,2024-12-02,2023-03-20,5,171.178.104.69,Demorou um pouco mas chegou bem.
AVAL-00820,VEND-0027,COMP-01656,2024-04-03,2023-08-10,2,62.215.173.159,"Veio com defeito, pedi troca."
AVAL-00821,VEND-0036,COMP-02612,2024-03-16,2023-04-08,5,165.189.120.237,Não gostei da qualidade.
AVAL-00822,VEND-0045,COMP-01617,2024-10-01,2024-09-30,5,192.168.1.105,Entrega rápida e produto de qualidade!
AVAL-00823,VEND-0006,COMP-04037,2024-02-19,2024-01-05,4,9.70.124.127,"Produto ok, dentro do esperado."
AVAL-00824,VEND-0100,COMP-01101,2023-08-20,2022-06-19,1,43.221.42.62,"Veio com defeito, pedi troca."
AVAL-00825,VEND-0042,COMP-03747,2024-02-13,2022-10-16,3,71.230.200.152,Excelente custo-benefício.
AVAL-00826,VEND-0044,COMP-01132,2023-12-09,2023-12-05,5,192.168.1.100,"Produto incrível, vendedor nota 10!"
AVAL-00827,VEND-0099,COMP-01641,2024-09-17,2023-09-23,4,102.191.143.126,
AVAL-00828,VEND-0089,COMP-04753,2023-11-28,2023-01-10,5,124.11.184.156,Demorou um pouco mas chegou bem.
AVAL-00829,VEND-0082,COMP-03206,2023-10-30,2021-12-02,5,55.199.157.182,Não gostei da qualidade.
AVAL-00830,VEND-0012,COMP-00847,2024-08-05,2024-04-10,5,133.187.83.92,"Veio com defeito, pedi troca."
AVAL-00831,VEND-0046,COMP-04164,2023-06-24,2023-06-18,5,192.168.1.100,Entrega rápida e produto de qualidade!
AVAL-00832,VEND-0049,COMP-04457,2024-05-20,2022-05-24,4,3.116.228.237,Demorou um pouco mas chegou bem.
AVAL-00833,VEND-0077,COMP-00805,2024-05-19,2022-11-05,4,115.242.190.222,"Recomendo, boa experiência."
AVAL-00834,VEND-0081,COMP-04423,2024-01-21,2023-12-04,4,173.216.234.177,"Produto ok, dentro do esperado."
AVAL-00835,VEND-0085,COMP-00126,2024-11-08,2023-08-07,4,41.47.85.235,Produto diferente da foto.
AVAL-00836,VEND-0113,COMP-03246,2024-10-18,2024-05-17,4,244.56.70.234,Excelente custo-benefício.
AVAL-00837,VEND-0111,COMP-01509,2024-12-03,2024-09-15,2,192.111.27.66,Excelente custo-benefício.
AVAL-00838,VEND-0030,COMP-04224,2024-10-18,2024-07-21,5,203.80.255.242,Excelente custo-benefício.
AVAL-00839,VEND-0116,COMP-04882,2023-02-07,2022-11-05,5,204.200.226.244,Produto diferente da foto.
AVAL-00840,VEND-0058,COMP-04461,2024-08-22,2023-02-18,5,41.201.218.175,Demorou um pouco mas chegou bem.
AVAL-00841,VEND-0064,COMP-04422,2024-09-06,2023-02-02,5,39.200.135.172,Excelente custo-benefício.
AVAL-00842,VEND-0010,COMP-01916,2023-04-12,2021-08-19,5,1.133.190.132,Excelente custo-benefício.
AVAL-00843,VEND-0048,COMP-03211,2024-03-20,2023-04-17,3,181.188.25.72,
AVAL-00844,VEND-0003,COMP-01487,2024-07-08,2023-10-12,5,188.158.107.63,"Recomendo, boa experiência."
AVAL-00845,VEND-0087,COMP-03913,2023-01-25,2022-11-15,4,33.134.33.232,Bom produto pelo preço.
AVAL-00846,VEND-0012,COMP-03944,2024-01-24,2023-09-15,5,193.211.146.133,"Produto ok, dentro do esperado."
AVAL-00847,VEND-0041,COMP-00051,2024-08-17,2023-04-21,3,79.16.68.94,Bom produto pelo preço.
AVAL-00848,VEND-0016,COMP-00522,2024-03-04,2023-03-07,4,124.212.161.229,Bom produto pelo preço.
AVAL-00849,VEND-0058,COMP-02511,2024-04-27,2023-10-24,1,104.57.201.199,"Recomendo, boa experiência."
AVAL-00850,VEND-0053,COMP-01541,2023-08-18,2022-05-15,5,255.238.53.198,"Recomendo, boa experiência."
AVAL-00851,VEND-0068,COMP-01965,2024-12-17,2023-03-19,5,71.80.214.46,"Recomendo, boa experiência."
AVAL-00852,VEND-0109,COMP-03821,2024-12-14,2023-02-25,1,127.76.7.44,Produto diferente da foto.
AVAL-00853,VEND-0110,COMP-04685,2023-09-29,2022-03-27,2,108.22.76.37,Produto diferente da foto.
AVAL-00854,VEND-0052,COMP-00897,2023-01-06,2022-05-31,2,161.154.15.212,Demorou um pouco mas chegou bem.
AVAL-00855,VEND-0101,COMP-00231,2024-09-24,2023-04-02,1,51.229.58.32,"Veio com defeito, pedi troca."
AVAL-00856,VEND-0099,COMP-03060,2023-10-15,2021-12-09,4,22.142.70.28,"Produto ok, dentro do esperado."
AVAL-00857,VEND-0018,COMP-00306,2024-01-28,2022-08-11,4,69.86.69.221,Excelente custo-benefício.
AVAL-00858,VEND-0115,COMP-01360,2023-11-05,2021-12-18,5,166.163.103.181,"Veio com defeito, pedi troca."
AVAL-00859,VEND-0090,COMP-04131,2023-06-23,2022-11-24,2,111.185.200.240,"Produto ok, dentro do esperado."
AVAL-00860,VEND-0089,COMP-02925,2024-09-21,2023-10-30,5,251.236.156.173,"Recomendo, boa experiência."
AVAL-00861,VEND-0049,COMP-02643,2024-07-06,2024-01-01,3,119.242.207.89,
AVAL-00862,VEND-0021,COMP-04058,2024-09-20,2024-05-09,1,209.232.23.29,"Veio com defeito, pedi troca."
AVAL-00863,VEND-0101,COMP-01374,2024-07-22,2024-04-24,5,26.6.41.142,"Recomendo, boa experiência."
AVAL-00864,VEND-0073,COMP-04535,2024-01-10,2023-10-28,5,158.31.63.232,Não gostei da qualidade.
AVAL-00865,VEND-0103,COMP-03831,2023-07-25,2021-09-06,4,36.144.94.77,
AVAL-00866,VEND-0093,COMP-00980,2023-01-11,2022-10-26,5,247.110.46.4,
AVAL-00867,VEND-0047,COMP-04854,2024-07-15,2024-02-14,5,156.114.7.188,Excelente custo-benefício.
AVAL-00868,VEND-0104,COMP-04242,2023-08-29,2023-06-21,5,9.129.217.200,Bom produto pelo preço.
AVAL-00869,VEND-0081,COMP-02321,2023-11-22,2023-07-03,4,152.180.199.26,"Produto ok, dentro do esperado."
AVAL-00870,VEND-0040,COMP-01505,2023-09-17,2022-02-07,4,175.194.42.246,"Produto ok, dentro do esperado."
AVAL-00871,VEND-0039,COMP-02026,2024-09-11,2023-07-06,5,52.227.13.191,"Produto ok, dentro do esperado."
AVAL-00872,VEND-0072,COMP-04275,2023-08-31,2023-04-02,5,195.167.118.103,Produto diferente da foto.
AVAL-00873,VEND-0082,COMP-01499,2023-05-24,2022-08-15,1,58.118.141.169,Excelente custo-benefício.
AVAL-00874,VEND-0033,COMP-03813,2024-11-20,2023-09-07,5,61.66.204.157,"Veio com defeito, pedi troca."
AVAL-00875,VEND-0108,COMP-02500,2023-06-27,2021-10-18,5,213.7.96.89,"Veio com defeito, pedi troca."
AVAL-00876,VEND-0103,COMP-02702,2024-10-13,2023-05-18,1,62.229.113.217,
AVAL-00877,VEND-0044,COMP-01864,2024-07-14,2024-07-13,5,192.168.1.105,"Produto incrível, vendedor nota 10!"
AVAL-00878,VEND-0006,COMP-01152,2024-04-05,2023-03-26,3,202.154.239.242,Não gostei da qualidade.
AVAL-00879,VEND-0023,COMP-00214,2023-07-17,2023-06-12,4,255.208.251.252,Excelente custo-benefício.
AVAL-00880,VEND-0079,COMP-02135,2023-11-22,2022-04-19,3,50.196.175.231,Bom produto pelo preço.
AVAL-00881,VEND-0030,COMP-01471,2023-07-09,2023-04-30,3,215.99.244.248,Bom produto pelo preço.
AVAL-00882,VEND-0018,COMP-01466,2024-01-19,2022-01-19,1,44.134.191.115,"Produto ok, dentro do esperado."
AVAL-00883,VEND-0062,COMP-03268,2023-04-20,2022-04-29,2,185.201.187.195,Bom produto pelo preço.
AVAL-00884,VEND-0052,COMP-01276,2024-05-05,2022-07-14,5,203.201.206.194,Bom produto pelo preço.
AVAL-00885,VEND-0055,COMP-03301,2023-08-10,2021-09-15,1,190.56.183.28,Excelente custo-benefício.
AVAL-00886,VEND-0104,COMP-01394,2024-05-07,2023-05-13,4,254.107.206.116,Excelente custo-benefício.
AVAL-00887,VEND-0082,COMP-01901,2024-05-20,2022-08-14,4,232.87.146.245,
AVAL-00888,VEND-0090,COMP-01595,2023-01-28,2021-09-22,5,23.3.153.216,Bom produto pelo preço.
AVAL-00889,VEND-0005,COMP-03006,2023-10-04,2023-03-21,4,82.170.243.248,"Veio com defeito, pedi troca."
AVAL-00890,VEND-0120,COMP-04842,2024-03-01,2022-12-25,5,255.105.73.232,"Recomendo, boa experiência."
AVAL-00891,VEND-0100,COMP-02896,2024-06-13,2022-12-14,3,77.125.32.85,"Veio com defeito, pedi troca."
AVAL-00892,VEND-0097,COMP-03734,2023-07-11,2023-01-31,4,116.246.191.65,Produto diferente da foto.
AVAL-00893,VEND-0028,COMP-02478,2024-04-19,2022-12-01,1,53.67.244.52,Produto diferente da foto.
AVAL-00894,VEND-0112,COMP-04042,2023-09-21,2021-11-05,5,188.159.232.199,"Produto ok, dentro do esperado."
AVAL-00895,VEND-0022,COMP-03291,2023-11-18,2023-08-27,2,78.219.194.152,Não gostei da qualidade.
AVAL-00896,VEND-0012,COMP-01531,2024-02-26,2022-10-07,1,169.108.15.73,
AVAL-00897,VEND-0099,COMP-03326,2024-10-10,2024-03-17,5,211.167.59.138,Bom produto pelo preço.
AVAL-00898,VEND-0111,COMP-04176,2023-02-04,2021-02-22,5,172.3.71.30,
AVAL-00899,VEND-0055,COMP-02161,2023-09-01,2022-12-25,5,24.183.64.25,Produto diferente da foto.
AVAL-00900,VEND-0031,COMP-03138,2023-10-22,2021-11-19,4,172.25.178.84,Bom produto pelo preço.
AVAL-00901,VEND-0033,COMP-03119,2023-04-26,2022-11-08,5,39.120.162.127,Produto diferente da foto.
AVAL-00902,VEND-0006,COMP-01287,2023-07-27,2023-01-26,5,199.241.105.130,Excelente custo-benefício.
AVAL-00903,VEND-0034,COMP-00771,2024-01-01,2022-02-28,3,179.181.234.171,Excelente custo-benefício.
AVAL-00904,VEND-0049,COMP-04003,2023-04-14,2021-10-13,3,207.170.226.108,"Recomendo, boa experiência."
AVAL-00905,VEND-0072,COMP-01270,2024-11-24,2024-07-27,5,226.42.211.235,Excelente custo-benefício.
AVAL-00906,VEND-0033,COMP-02007,2023-11-07,2023-04-13,5,16.223.213.97,"Produto ok, dentro do esperado."
AVAL-00907,VEND-0070,COMP-03221,2023-02-15,2021-06-24,2,126.232.96.119,Demorou um pouco mas chegou bem.
AVAL-00908,VEND-0114,COMP-00331,2024-09-25,2023-09-02,3,25.237.77.1,Excelente custo-benefício.
AVAL-00909,VEND-0108,COMP-04763,2023-10-29,2022-11-25,4,99.139.135.171,Bom produto pelo preço.
AVAL-00910,VEND-0055,COMP-02669,2024-01-26,2023-10-24,4,244.37.100.14,"Produto ok, dentro do esperado."
AVAL-00911,VEND-0001,COMP-00625,2023-07-07,2022-11-24,5,14.136.225.216,"Recomendo, boa experiência."
AVAL-00912,VEND-0101,COMP-00662,2024-02-03,2023-07-15,5,233.121.66.167,
AVAL-00913,VEND-0113,COMP-02271,2024-06-11,2022-06-28,5,178.207.247.206,Não gostei da qualidade.
AVAL-00914,VEND-0106,COMP-04430,2024-07-28,2023-12-13,5,106.158.16.94,
AVAL-00915,VEND-0022,COMP-04199,2024-03-07,2022-07-04,5,243.134.70.25,Demorou um pouco mas chegou bem.
AVAL-00916,VEND-0093,COMP-00351,2023-09-22,2022-04-09,5,55.38.204.89,
AVAL-00917,VEND-0090,COMP-01605,2024-06-28,2023-04-15,4,139.99.131.153,Demorou um pouco mas chegou bem.
AVAL-00918,VEND-0070,COMP-03763,2023-02-16,2021-11-27,4,92.78.24.140,
AVAL-00919,VEND-0045,COMP-04973,2023-10-13,2021-12-11,4,12.79.252.34,Bom produto pelo preço.
AVAL-00920,VEND-0082,COMP-03921,2024-12-26,2023-08-22,5,134.22.96.230,Excelente custo-benefício.
AVAL-00921,VEND-0111,COMP-00619,2023-06-03,2023-03-07,3,232.151.41.13,Demorou um pouco mas chegou bem.
AVAL-00922,VEND-0004,COMP-02185,2024-07-08,2024-05-29,2,124.190.157.231,"Produto ok, dentro do esperado."
AVAL-00923,VEND-0072,COMP-01689,2024-09-07,2024-02-25,4,192.102.249.180,Excelente custo-benefício.
AVAL-00924,VEND-0017,COMP-03497,2024-06-27,2024-04-29,4,90.87.126.217,Demorou um pouco mas chegou bem.
AVAL-00925,VEND-0002,COMP-00438,2023-05-13,2021-09-04,2,121.74.95.52,Bom produto pelo preço.
AVAL-00926,VEND-0065,COMP-03933,2023-11-01,2022-11-10,4,138.33.126.74,"Recomendo, boa experiência."
AVAL-00927,VEND-0101,COMP-04295,2023-08-07,2021-09-13,1,137.51.254.39,Excelente custo-benefício.
AVAL-00928,VEND-0101,COMP-01872,2023-02-26,2022-10-04,3,104.95.139.113,
AVAL-00929,VEND-0111,COMP-02400,2023-04-08,2022-10-10,5,10.148.84.36,Demorou um pouco mas chegou bem.
AVAL-00930,VEND-0064,COMP-01829,2024-02-20,2023-09-02,5,231.19.101.36,Excelente custo-benefício.
AVAL-00931,VEND-0018,COMP-03954,2024-07-07,2022-07-15,2,56.59.10.236,Demorou um pouco mas chegou bem.
AVAL-00932,VEND-0040,COMP-04056,2023-10-15,2023-04-18,4,249.237.78.155,Não gostei da qualidade.
AVAL-00933,VEND-0084,COMP-01232,2023-01-28,2022-07-29,5,197.223.69.34,"Produto ok, dentro do esperado."
AVAL-00934,VEND-0085,COMP-02092,2023-03-24,2021-07-25,2,153.15.237.182,Bom produto pelo preço.
AVAL-00935,VEND-0024,COMP-00975,2024-08-21,2023-08-11,4,62.42.220.51,"Veio com defeito, pedi troca."
AVAL-00936,VEND-0083,COMP-03056,2023-12-28,2022-01-20,3,93.203.123.106,Demorou um pouco mas chegou bem.
AVAL-00937,VEND-0095,COMP-04069,2023-11-09,2023-09-22,5,42.101.87.248,Excelente custo-benefício.
AVAL-00938,VEND-0117,COMP-01063,2024-07-30,2023-07-21,5,47.135.152.171,Produto diferente da foto.
AVAL-00939,VEND-0020,COMP-04692,2023-05-23,2021-08-26,2,170.160.212.145,
AVAL-00940,VEND-0054,COMP-02784,2023-07-28,2023-02-06,4,10.101.89.29,Excelente custo-benefício.
AVAL-00941,VEND-0019,COMP-02523,2023-12-19,2023-09-20,3,158.62.59.148,Não gostei da qualidade.
AVAL-00942,VEND-0071,COMP-03567,2024-05-15,2024-02-05,3,161.250.218.19,Bom produto pelo preço.
AVAL-00943,VEND-0096,COMP-00303,2023-11-26,2023-03-13,5,31.192.65.158,"Recomendo, boa experiência."
AVAL-00944,VEND-0015,COMP-04039,2024-10-07,2024-03-08,5,171.216.225.186,Excelente custo-benefício.
AVAL-00945,VEND-0017,COMP-00873,2024-01-14,2023-03-29,5,234.103.188.176,Excelente custo-benefício.
AVAL-00946,VEND-0071,COMP-01286,2023-11-12,2022-10-17,5,76.163.88.61,Produto diferente da foto.
AVAL-00947,VEND-0036,COMP-02754,2023-05-25,2022-11-18,5,144.25.222.195,Demorou um pouco mas chegou bem.
AVAL-00948,VEND-0096,COMP-01718,2024-05-31,2022-06-29,5,126.27.44.228,Bom produto pelo preço.
AVAL-00949,VEND-0113,COMP-02779,2023-01-14,2021-10-14,5,122.177.96.250,Excelente custo-benefício.
AVAL-00950,VEND-0064,COMP-04104,2024-10-12,2024-01-04,4,148.46.123.128,Demorou um pouco mas chegou bem.
AVAL-00951,VEND-0080,COMP-02410,2023-12-05,2022-02-05,5,109.135.74.166,Produto diferente da foto.
AVAL-00952,VEND-0101,COMP-00579,2024-01-28,2023-03-09,5,229.52.50.200,Produto diferente da foto.
AVAL-00953,VEND-0024,COMP-01191,2024-02-12,2022-12-08,4,100.24.145.177,Demorou um pouco mas chegou bem.
AVAL-00954,VEND-0013,COMP-03319,2023-09-15,2023-01-01,4,120.240.159.113,Excelente custo-benefício.
AVAL-00955,VEND-0079,COMP-02826,2023-01-12,2021-07-18,5,116.251.97.175,Bom produto pelo preço.
AVAL-00956,VEND-0104,COMP-01879,2023-08-08,2022-04-17,2,53.103.169.123,"Recomendo, boa experiência."
AVAL-00957,VEND-0106,COMP-03731,2024-06-10,2024-03-07,5,184.126.10.174,"Recomendo, boa experiência."
AVAL-00958,VEND-0004,COMP-03898,2024-07-09,2023-04-30,4,212.214.64.68,Produto diferente da foto.
AVAL-00959,VEND-0023,COMP-04436,2024-08-30,2024-06-19,3,217.74.205.8,
AVAL-00960,VEND-0056,COMP-03936,2023-10-13,2023-06-27,4,52.149.173.134,Não gostei da qualidade.
AVAL-00961,VEND-0109,COMP-01692,2023-05-07,2021-09-16,4,98.140.25.32,Demorou um pouco mas chegou bem.
AVAL-00962,VEND-0075,COMP-03228,2023-04-10,2021-07-19,5,142.241.80.28,"Recomendo, boa experiência."
AVAL-00963,VEND-0114,COMP-00097,2023-09-17,2021-12-14,5,194.233.248.249,Excelente custo-benefício.
AVAL-00964,VEND-0033,COMP-04269,2023-09-20,2021-11-07,4,83.235.244.155,Excelente custo-benefício.
AVAL-00965,VEND-0011,COMP-01722,2024-06-13,2022-07-26,5,146.216.41.187,Não gostei da qualidade.
AVAL-00966,VEND-0093,COMP-04685,2024-09-24,2023-12-21,5,57.23.253.18,"Recomendo, boa experiência."
AVAL-00967,VEND-0072,COMP-01601,2023-09-14,2022-11-05,2,38.156.123.22,Bom produto pelo preço.
AVAL-00968,VEND-0061,COMP-03942,2023-05-24,2022-02-20,5,74.222.81.51,Bom produto pelo preço.
AVAL-00969,VEND-0094,COMP-01949,2023-08-08,2023-05-18,2,152.184.3.70,"Veio com defeito, pedi troca."
AVAL-00970,VEND-0035,COMP-03142,2024-04-12,2022-10-11,5,197.36.249.45,Excelente custo-benefício.
AVAL-00971,VEND-0108,COMP-01919,2023-03-17,2022-12-24,4,187.178.9.25,Não gostei da qualidade.
AVAL-00972,VEND-0081,COMP-00472,2024-06-26,2022-07-13,4,143.83.61.119,Excelente custo-benefício.
AVAL-00973,VEND-0078,COMP-02535,2024-12-23,2023-06-01,4,65.16.218.205,Produto diferente da foto.
AVAL-00974,VEND-0031,COMP-03553,2023-04-22,2021-04-30,2,225.165.92.13,"Recomendo, boa experiência."
AVAL-00975,VEND-0031,COMP-03273,2024-12-07,2024-08-07,2,219.77.228.169,Produto diferente da foto.
AVAL-00976,VEND-0110,COMP-04946,2023-08-27,2022-06-07,3,202.80.201.62,Não gostei da qualidade.
AVAL-00977,VEND-0037,COMP-02291,2023-09-29,2022-04-27,4,139.58.18.133,"Produto ok, dentro do esperado."
AVAL-00978,VEND-0033,COMP-02330,2023-11-05,2022-09-27,3,203.73.10.249,
AVAL-00979,VEND-0110,COMP-04204,2023-08-08,2022-07-07,3,72.112.150.186,Não gostei da qualidade.
AVAL-00980,VEND-0046,COMP-02851,2023-05-11,2023-05-06,5,192.168.1.105,Superou minhas expectativas! 10/10
AVAL-00981,VEND-0005,COMP-02891,2024-11-03,2024-09-08,5,29.219.117.45,Excelente custo-benefício.
AVAL-00982,VEND-0048,COMP-01273,2024-06-05,2022-10-16,3,238.236.172.147,Excelente custo-benefício.
AVAL-00983,VEND-0017,COMP-02327,2023-02-26,2023-01-06,4,9.32.41.161,Demorou um pouco mas chegou bem.
AVAL-00984,VEND-0059,COMP-02520,2023-10-26,2023-04-20,5,27.107.31.227,"Produto ok, dentro do esperado."
AVAL-00985,VEND-0039,COMP-04544,2024-04-16,2022-09-08,4,147.180.64.96,Bom produto pelo preço.
AVAL-00986,VEND-0083,COMP-02664,2023-03-15,2023-01-11,4,212.91.203.224,Não gostei da qualidade.
AVAL-00987,VEND-0075,COMP-02716,2024-02-20,2022-06-08,3,90.117.229.31,Excelente custo-benefício.
AVAL-00988,VEND-0049,COMP-02832,2024-07-30,2024-02-25,5,244.166.252.214,Produto diferente da foto.
AVAL-00989,VEND-0028,COMP-02716,2023-03-05,2022-06-13,5,156.42.32.73,
AVAL-00990,VEND-0092,COMP-02018,2024-11-29,2023-01-26,3,85.43.134.90,"Recomendo, boa experiência."
AVAL-00991,VEND-0119,COMP-01278,2024-12-30,2023-01-19,5,223.175.225.133,Produto diferente da foto.
AVAL-00992,VEND-0073,COMP-04853,2023-04-18,2022-09-22,3,46.203.74.193,Produto diferente da foto.
AVAL-00993,VEND-0032,COMP-00250,2024-01-06,2022-11-27,4,244.75.226.183,"Produto ok, dentro do esperado."
AVAL-00994,VEND-0050,COMP-01799,2024-08-31,2024-01-30,3,132.229.103.71,Demorou um pouco mas chegou bem.
AVAL-00995,VEND-0045,COMP-02229,2024-11-16,2024-11-12,5,192.168.1.100,Superou minhas expectativas! 10/10
AVAL-00996,VEND-0053,COMP-00510,2023-05-10,2022-11-07,5,253.17.227.88,Demorou um pouco mas chegou bem.
AVAL-00997,VEND-0033,COMP-00688,2023-07-04,2022-10-27,3,79.53.135.196,Não gostei da qualidade.
AVAL-00998,VEND-0019,COMP-00089,2023-11-01,2022-08-19,5,46.41.21.53,Não gostei da qualidade.
AVAL-00999,VEND-0039,COMP-04744,2023-05-01,2022-12-26,5,190.2.194.25,Não gostei da qualidade.
AVAL-01000,VEND-0055,COMP-04469,2024-01-31,2022-08-01,5,81.13.160.17,Produto diferente da foto.
AVAL-01001,VEND-0038,COMP-00381,2023-05-22,2022-07-18,4,82.154.89.7,Bom produto pelo preço.
AVAL-01002,VEND-0092,COMP-04367,2023-08-27,2022-02-13,4,163.117.253.242,"Produto ok, dentro do esperado."
AVAL-01003,VEND-0037,COMP-03315,2024-02-01,2023-04-17,5,226.245.84.179,Excelente custo-benefício.
AVAL-01004,VEND-0071,COMP-03044,2024-12-08,2023-01-17,3,231.207.6.111,"Veio com defeito, pedi troca."
AVAL-01005,VEND-0082,COMP-01091,2024-06-01,2022-08-23,5,235.73.42.250,"Produto ok, dentro do esperado."
AVAL-01006,VEND-0049,COMP-03093,2023-02-16,2022-03-02,4,78.3.242.104,"Veio com defeito, pedi troca."
AVAL-01007,VEND-0026,COMP-01094,2023-01-13,2022-06-22,5,12.199.157.168,"Recomendo, boa experiência."
AVAL-01008,VEND-0110,COMP-04071,2024-08-06,2022-09-13,1,213.8.191.155,
AVAL-01009,VEND-0104,COMP-03954,2024-08-11,2024-07-11,3,12.220.228.233,Demorou um pouco mas chegou bem.
AVAL-01010,VEND-0109,COMP-03252,2024-11-09,2023-11-23,5,122.88.244.190,Não gostei da qualidade.
AVAL-01011,VEND-0064,COMP-04599,2024-05-12,2022-07-15,3,53.195.104.70,"Produto ok, dentro do esperado."
AVAL-01012,VEND-0075,COMP-01008,2024-10-09,2023-12-31,5,73.55.84.120,
AVAL-01013,VEND-0116,COMP-00948,2023-11-15,2023-05-23,5,60.122.11.3,Bom produto pelo preço.
AVAL-01014,VEND-0100,COMP-00745,2023-03-18,2022-03-05,5,83.39.205.71,Demorou um pouco mas chegou bem.
AVAL-01015,VEND-0035,COMP-01037,2024-10-06,2024-04-04,2,148.223.212.180,"Veio com defeito, pedi troca."
AVAL-01016,VEND-0029,COMP-03599,2023-04-26,2023-01-02,4,206.26.251.188,Demorou um pouco mas chegou bem.
AVAL-01017,VEND-0049,COMP-04599,2024-12-23,2024-08-26,5,18.241.161.232,"Recomendo, boa experiência."
AVAL-01018,VEND-0089,COMP-02924,2024-04-24,2023-08-25,5,1.34.57.240,"Recomendo, boa experiência."
AVAL-01019,VEND-0004,COMP-03056,2024-12-09,2023-05-18,4,92.25.151.36,Produto diferente da foto.
AVAL-01020,VEND-0116,COMP-00199,2024-12-03,2023-09-14,2,72.81.243.38,Não gostei da qualidade.
AVAL-01021,VEND-0120,COMP-02018,2024-11-19,2023-08-19,4,31.81.143.77,Excelente custo-benefício.
